step,K,T_I,T_D,P,I,D,ds,left speed,right speed
0,0.0025,9999999999,0,-0.5,-3.2000000003200002e-12,-0.0,-0.4500000000032,2.4500000000032,1.5499999999968
1,0.0025,9999999999,0,-0.5,-6.4000000006400005e-12,0.0,-0.4500000000064,2.4500000000064,1.5499999999936
2,0.0025,9999999999,0,-0.5,-9.60000000096e-12,0.0,-0.4500000000096,2.4500000000096,1.5499999999904
3,0.0025,9999999999,0,-0.5,-1.2800000001280001e-11,0.0,-0.4500000000128,2.4500000000128,1.5499999999872
4,0.0025,9999999999,0,-0.5,-1.60000000016e-11,0.0,-0.450000000016,2.450000000016,1.549999999984
5,0.0025,9999999999,0,-0.5,-1.9200000001919998e-11,0.0,-0.4500000000192,2.4500000000192,1.5499999999808
6,0.0025,9999999999,0,-0.5,-2.240000000224e-11,0.0,-0.4500000000224,2.4500000000224,1.5499999999776
7,0.0025,9999999999,0,-0.5,-2.560000000256e-11,0.0,-0.4500000000256,2.4500000000256,1.5499999999744
8,0.0025,9999999999,0,-0.5,-2.880000000288e-11,0.0,-0.4500000000288,2.4500000000288,1.5499999999712
9,0.0025,9999999999,0,-0.5,-3.200000000319999e-11,0.0,-0.45000000003199997,2.450000000032,1.549999999968
10,0.0025,9999999999,0,-0.5,-3.5200000003519995e-11,0.0,-0.45000000003519997,2.4500000000352,1.5499999999648
11,0.0025,9999999999,0,-0.4941571428571429,-3.836260571812197e-11,0.0,-0.4441571428955055,2.4441571428955053,1.5558428571044944
12,0.0025,9999999999,0,-0.5,-4.156260571844197e-11,-0.0,-0.45000000004156265,2.4500000000415625,1.5499999999584373
13,0.0025,9999999999,0,-0.5,-4.476260571876197e-11,0.0,-0.45000000004476265,2.4500000000447626,1.5499999999552374
14,0.0025,9999999999,0,-0.5,-4.796260571908198e-11,0.0,-0.45000000004796264,2.4500000000479627,1.5499999999520373
15,0.0025,9999999999,0,-0.5,-5.1162605719401976e-11,0.0,-0.45000000005116264,2.450000000051163,1.5499999999488374
16,0.0025,9999999999,0,-0.5,-5.436260571972198e-11,0.0,-0.45000000005436264,2.4500000000543625,1.5499999999456373
17,0.0025,9999999999,0,-0.5,-5.7562605720041986e-11,0.0,-0.45000000005756263,2.4500000000575626,1.5499999999424374
18,0.0025,9999999999,0,-0.5,-6.076260572036199e-11,0.0,-0.45000000006076263,2.4500000000607627,1.5499999999392373
19,0.0025,9999999999,0,-0.5,-6.396260572068199e-11,0.0,-0.4500000000639626,2.450000000063963,1.5499999999360374
20,0.0025,9999999999,0,-0.5,-6.716260572100199e-11,0.0,-0.4500000000671626,2.4500000000671625,1.5499999999328373
21,0.0025,9999999999,0,-0.5,-7.0362605721322e-11,0.0,-0.4500000000703626,2.4500000000703626,1.5499999999296374
22,0.0025,9999999999,0,-0.5,-7.3562605721642e-11,0.0,-0.4500000000735626,2.4500000000735627,1.5499999999264373
23,0.0025,9999999999,0,-0.5,-7.676260572196201e-11,0.0,-0.4500000000767626,2.4500000000767628,1.5499999999232374
24,0.0025,9999999999,0,-0.5,-7.9962605722282e-11,0.0,-0.4500000000799626,2.4500000000799624,1.5499999999200373
25,0.0025,9999999999,0,-0.49951428571428574,-8.315949715117314e-11,0.0,-0.44951428579744523,2.449514285797445,1.5504857142025548
26,0.0025,9999999999,0,-0.5,-8.635949715149313e-11,-0.0,-0.4500000000863595,2.4500000000863595,1.5499999999136405
27,0.0025,9999999999,0,-0.5,-8.955949715181314e-11,0.0,-0.4500000000895595,2.4500000000895596,1.5499999999104406
28,0.0025,9999999999,0,-0.4998714285714286,-9.275867429499018e-11,0.0,-0.4498714286641873,2.449871428664187,1.5501285713358128
29,0.0025,9999999999,0,-0.5,-9.59586742953102e-11,-0.0,-0.4500000000959587,2.4500000000959585,1.5499999999040412
30,0.0025,9999999999,0,-0.5,-9.91586742956302e-11,0.0,-0.4500000000991587,2.4500000000991586,1.5499999999008414
