step,K,T_I,T_D,P,I,D,ds,left speed,right speed
0,0.005,9999999999,0,-0.4174714285714286,-2.671817143124325e-12,-0.0,-0.3674714285741004,2.3674714285741003,1.6325285714258997
1,0.005,9999999999,0,-0.39175714285714286,-5.179062857660764e-12,0.0,-0.34175714286232195,2.341757142862322,1.6582428571376782
2,0.005,9999999999,0,-0.3381857142857143,-7.343451429305774e-12,0.0,-0.2881857142930578,2.288185714293058,1.7118142857069423
3,0.005,9999999999,0,-0.2989,-9.25641142949707e-12,0.0,-0.24890000000925644,2.2489000000092565,1.7510999999907435
4,0.005,9999999999,0,-0.24175714285714292,-1.080365714393751e-11,0.0,-0.1917571428679466,2.1917571428679468,1.8082428571320535
5,0.005,9999999999,0,-0.19104285714285724,-1.2026331429774064e-11,0.0,-0.14104285715488357,2.1410428571548836,1.8589571428451164
6,0.005,9999999999,0,-0.16604285714285724,-1.3089005715594616e-11,0.0,-0.11604285715594624,2.1160428571559464,1.8839571428440538
7,0.005,9999999999,0,-0.1253285714285714,-1.3891108572817684e-11,0.0,-0.07532857144246251,2.0753285714424625,1.9246714285575375
8,0.005,9999999999,0,-0.09747142857142863,-1.4514925715737208e-11,0.0,-0.047471428585943554,2.0474714285859434,1.9525285714140566
9,0.005,9999999999,0,-0.07604285714285723,-1.5001600001500163e-11,0.0,-0.026042857157858826,2.026042857157859,1.9739571428421412
10,0.005,9999999999,0,-0.050328571428571396,-1.5323702858675233e-11,0.0,-0.000328571443895094,2.000328571443895,1.9996714285561048
11,0.005,9999999999,0,-0.04104285714285723,-1.5586377144415783e-11,0.0,0.008957142841556395,1.9910428571584435,2.0089571428415565
12,0.005,9999999999,0,-0.07564285714285716,-1.607049143017848e-11,-0.0,-0.025642857158927654,2.025642857158928,1.9743571428410724
13,0.005,9999999999,0,-0.0953285714285714,-1.668059428738235e-11,-0.0,-0.045328571445251986,2.045328571445252,1.954671428554748
14,0.005,9999999999,0,-0.10175714285714292,-1.7331840001733188e-11,-0.0,-0.05175714287447476,2.0517571428744747,1.9482428571255253
15,0.005,9999999999,0,-0.12175714285714292,-1.8111085716096827e-11,-0.0,-0.071757142875254,2.071757142875254,1.928242857124746
16,0.005,9999999999,0,-0.09247142857142862,-1.8702902859013152e-11,0.0,-0.04247142859013152,2.0424714285901313,1.9575285714098685
17,0.005,9999999999,0,-0.08532857142857139,-1.9249005716210616e-11,0.0,-0.035328571447820395,2.0353285714478204,1.9646714285521796
18,0.005,9999999999,0,-0.015328571428571395,-1.9347108573363283e-11,0.0,0.034671428552081496,1.9653285714479185,2.0346714285520813
19,0.005,9999999999,0,-0.04318571428571431,-1.9623497144819494e-11,-0.0,0.006814285694662192,1.9931857143053378,2.006814285694662
20,0.005,9999999999,0,-0.0031857142857143117,-1.9643885716250105e-11,0.0,0.046814285694641807,1.9531857143053581,2.0468142856946416
21,0.005,9999999999,0,0.07252857142857139,-1.917970285906083e-11,0.0,0.12252857140939169,1.8774714285906082,2.1225285714093918
22,0.005,9999999999,0,0.2025285714285714,-1.7883520001788355e-11,0.0,0.25252857141068785,1.747471428589312,2.252528571410688
23,0.005,9999999999,0,0.2803857142857143,-1.608905143018034e-11,0.0,0.3303857142696252,1.6696142857303748,2.3303857142696254
24,0.005,9999999999,0,0.3403857142857143,-1.3910582858533921e-11,0.0,0.3903857142718037,1.6096142857281963,2.3903857142718037
25,0.005,9999999999,0,0.3868142857142857,-1.1434971429714932e-11,0.0,0.43681428570285075,1.5631857142971493,2.4368142857028507
26,0.005,9999999999,0,0.3818142857142857,-8.991360000899143e-12,-0.0,0.43181428570529434,1.5681857142947058,2.4318142857052942
27,0.005,9999999999,0,0.38752857142857156,-6.511177143508268e-12,0.0,0.43752857142206036,1.5624714285779397,2.4375285714220603
28,0.005,9999999999,0,0.36895714285714293,-4.1498514289864214e-12,-0.0,0.41895714285299307,1.581042857147007,2.4189571428529932
29,0.005,9999999999,0,0.3653857142857143,-1.811382857324003e-12,-0.0,0.4153857142839029,1.5846142857160972,2.415385714283903
30,0.005,9999999999,0,0.33967142857142846,3.62514285750529e-13,-0.0,0.38967142857179093,1.6103285714282092,2.389671428571791
31,0.005,9999999999,0,0.3160999999999999,2.385554285952832e-12,-0.0,0.3661000000023854,1.6338999999976145,2.3661000000023855
32,0.005,9999999999,0,0.32252857142857155,4.4497371433021085e-12,0.0,0.37252857143302126,1.6274714285669787,2.3725285714330213
33,0.005,9999999999,0,0.3146714285714285,6.463634286360641e-12,-0.0,0.3646714285778921,1.635328571422108,2.3646714285778923
34,0.005,9999999999,0,0.3153857142857143,8.482102857991059e-12,0.0,0.3653857142941964,1.6346142857058035,2.3653857142941965
35,0.005,9999999999,0,0.3096714285714285,1.0464000001046392e-11,-0.0,0.3596714285818925,1.6403285714181075,2.3596714285818923
36,0.005,9999999999,0,0.2853857142857143,1.229046857265761e-11,-0.0,0.33538571429800473,1.6646142857019952,2.335385714298005
37,0.005,9999999999,0,0.2561,1.3929508572821514e-11,-0.0,0.3061000000139295,1.6938999999860704,2.3061000000139296
38,0.005,9999999999,0,0.23895714285714278,1.5458834287260158e-11,-0.0,0.2889571428726016,1.7110428571273983,2.2889571428726017
39,0.005,9999999999,0,0.2075285714285714,1.6787017144535835e-11,-0.0,0.2575285714453584,1.7424714285546417,2.2575285714453583
40,0.005,9999999999,0,0.18895714285714277,1.7996342858942484e-11,-0.0,0.23895714287513914,1.7610428571248609,2.2389571428751394
41,0.005,9999999999,0,0.1482428571428571,1.8945097144751647e-11,-0.0,0.19824285716180218,1.8017571428381978,2.198242857161802
42,0.005,9999999999,0,0.11038571428571431,1.9651565716250865e-11,-0.0,0.16038571430536588,1.839614285694634,2.1603857143053657
43,0.005,9999999999,0,0.08324285714285708,2.0184320002018428e-11,-0.0,0.1332428571630414,1.8667571428369585,2.1332428571630415
44,0.005,9999999999,0,0.06252857142857138,2.05845028592013e-11,-0.0,0.11252857144915589,1.887471428550844,2.1125285714491557
45,0.005,9999999999,0,0.050385714285714304,2.090697143066212e-11,-0.0,0.10038571430662127,1.8996142856933786,2.100385714306621
46,0.005,9999999999,0,0.022528571428571384,2.1051154287819392e-11,-0.0,0.07252857144962255,1.9274714285503776,2.0725285714496224
47,0.005,9999999999,0,-0.00032857142857139365,2.1049051430676332e-11,-0.0,0.04967142859247766,1.9503285714075222,2.0496714285924775
48,0.005,9999999999,0,-0.06747142857142861,2.0617234287776008e-11,-0.0,-0.01747142855081138,2.0174714285508113,1.9825285714491887
49,0.005,9999999999,0,-0.0539,2.027227428774151e-11,0.0,-0.0038999999797277238,2.0038999999797276,1.9961000000202722
50,0.005,9999999999,0,-0.0603285714285714,1.9886171430560044e-11,-0.0,-0.010328571408685226,2.010328571408685,1.9896714285913149
51,0.005,9999999999,0,-0.06175714285714293,1.9490925716234806e-11,-0.0,-0.011757142837652002,2.011757142837652,1.988242857162348
52,0.005,9999999999,0,-0.0996142857142857,1.8853394287599622e-11,-0.0,-0.0496142856954323,2.0496142856954322,1.9503857143045678
53,0.005,9999999999,0,-0.07890000000000001,1.8348434287549126e-11,0.0,-0.028899999981651575,2.0288999999816517,1.9711000000183485
54,0.005,9999999999,0,-0.10318571428571431,1.7688045716054515e-11,-0.0,-0.05318571426802626,2.053185714268026,1.9468142857319737
55,0.005,9999999999,0,-0.09104285714285723,1.710537143028196e-11,0.0,-0.041042857125751855,2.0410428571257517,1.958957142874248
56,0.005,9999999999,0,-0.1046142857142857,1.6435840001643578e-11,-0.0,-0.05461428569784986,2.0546142856978498,1.9453857143021502
57,0.005,9999999999,0,-0.10818571428571432,1.574345143014577e-11,-0.0,-0.058185714269970865,2.0581857142699707,1.9418142857300291
58,0.005,9999999999,0,-0.13461428571428571,1.4881920001488186e-11,-0.0,-0.08461428569940378,2.084614285699404,1.9153857143005961
