step,K,T_I,T_D,P,I,D,ds,left speed,right speed
34,0.01,9999999999,0,-0.6131714285714284,-2.5208411431092267e-10,0.0,-0.5631714288235125,2.5631714288235123,1.4368285711764877
35,0.01,9999999999,0,-0.4931714285714287,-2.5524041145409543e-10,0.0,-0.4431714288266691,2.4431714288266693,1.556828571173331
36,0.01,9999999999,0,-0.4960285714285715,-2.5841499431155573e-10,-0.0,-0.4460285716869865,2.4460285716869867,1.5539714283130135
37,0.01,9999999999,0,-0.4146000000000001,-2.6106843431182106e-10,0.0,-0.36460000026106854,2.3646000002610688,1.6353999997389315
38,0.01,9999999999,0,-0.3746000000000001,-2.634658743120608e-10,0.0,-0.32460000026346597,2.324600000263466,1.675399999736534
39,0.01,9999999999,0,-0.2946000000000001,-2.653513143122494e-10,0.0,-0.2446000002653514,2.2446000002653514,1.7553999997346486
40,0.01,9999999999,0,-0.21174285714285732,-2.6670646859809915e-10,0.0,-0.1617428574095638,2.1617428574095636,1.8382571425904362
41,0.01,9999999999,0,-0.1831714285714287,-2.6787876574107353e-10,0.0,-0.1331714288393075,2.1331714288393075,1.8668285711606925
42,0.01,9999999999,0,-0.13460000000000008,-2.6874020574115965e-10,0.0,-0.08460000026874027,2.08460000026874,1.9153999997312596
43,0.01,9999999999,0,-0.06745714285714258,-2.691719314554886e-10,0.0,-0.01745714312631451,2.0174571431263146,1.9825428568736856
44,0.01,9999999999,0,-0.05460000000000008,-2.6952137145552357e-10,0.0,-0.004600000269521447,2.0046000002695212,1.9953999997304785
45,0.01,9999999999,0,-0.07459999999999979,-2.699988114555713e-10,-0.0,-0.024600000269998604,2.0246000002699986,1.9753999997300014
46,0.01,9999999999,0,0.07111428571428575,-2.695436800269544e-10,0.0,0.12111428544474208,1.878885714555258,2.121114285444742
47,0.01,9999999999,0,0.15111428571428603,-2.6857654859828626e-10,0.0,0.20111428544570947,1.7988857145542905,2.2011142854457093
48,0.01,9999999999,0,0.20254285714285744,-2.6728027431244237e-10,0.0,0.25254285687557715,1.7474571431244228,2.252542856875577
49,0.01,9999999999,0,0.2868285714285716,-2.654445714551159e-10,0.0,0.33682857116312703,1.6631714288368729,2.336828571163127
50,0.01,9999999999,0,0.3796857142857147,-2.630145828834444e-10,0.0,0.42968571402270006,1.5703142859772998,2.4296857140227
