step,K,T_I,T_D,P,I,D,ds,left speed,right speed
0,0.005,9999999999,0.030625,-0.43104285714285717,-2.758674285990153e-12,-0.2062607421875,-0.5873035993331158,2.587303599333116,1.412696400666884
1,0.005,9999999999,0.030625,-0.4311571428571428,-5.518080000551808e-12,-5.4687499999945405e-05,-0.3812118303626608,2.381211830362661,1.6187881696373392
2,0.005,9999999999,0.030625,-0.4325857142857143,-8.286628572257233e-12,-0.0006835937500000486,-0.383269308044001,2.383269308044001,1.616730691955999
3,0.005,9999999999,0.030625,-0.44044285714285714,-1.1105462858253404e-11,-0.003759765624999995,-0.3942026227789626,2.3942026227789626,1.6057973772210374
4,0.005,9999999999,0.030625,-0.41115714285714283,-1.3736868572802259e-11,0.014013671875000012,-0.34714347099587967,2.3471434709958796,1.6528565290041204
5,0.005,9999999999,0.030625,-0.40187142857142855,-1.63088457159166e-11,0.004443359375000009,-0.3474280692127374,2.3474280692127376,1.6525719307872626
6,0.005,9999999999,0.030625,-0.43401428571428563,-1.9086537144765793e-11,-0.015380859374999972,-0.3993951451083721,2.399395145108372,1.6006048548916278
7,0.005,9999999999,0.030625,-0.43258571428571424,-2.185508571647122e-11,0.0006835937499999805,-0.38190212055756934,2.3819021205575694,1.6180978794424306
8,0.005,9999999999,0.030625,-0.40115714285714277,-2.4422491431013672e-11,0.015039062500000014,-0.3361180803815652,2.3361180803815653,1.6638819196184347
9,0.005,9999999999,0.030625,-0.4040142857142856,-2.7008182859843668e-11,-0.001367187499999995,-0.35538147324129377,2.3553814732412937,1.6446185267587063
10,0.005,9999999999,0.030625,-0.4182999999999999,-2.968530286011138e-11,-0.00683593750000001,-0.3751359375296852,2.375135937529685,1.6248640624703148
11,0.005,9999999999,0.030625,-0.4261571428571428,-3.241270857466983e-11,-0.003759765624999995,-0.3799169085145555,2.3799169085145557,1.6200830914854445
12,0.005,9999999999,0.030625,-0.4182999999999999,-3.508982857493754e-11,0.003759765624999995,-0.3645402344100897,2.36454023441009,1.6354597655899104
13,0.005,9999999999,0.030625,-0.4332999999999999,-3.786294857521486e-11,-0.0071777343750000005,-0.3904777344128629,2.3904777344128627,1.609522265587137
14,0.005,9999999999,0.030625,-0.41329999999999995,-4.050806857547937e-11,0.0095703125,-0.353729687540508,2.353729687540508,1.646270312459492
15,0.005,9999999999,0.030625,-0.3882999999999999,-4.299318857572788e-11,0.011962890625,-0.3263371094179931,2.326337109417993,1.673662890582007
16,0.005,9999999999,0.030625,-0.4211571428571428,-4.5688594290283134e-11,-0.015722656249999994,-0.3868797991528314,2.3868797991528314,1.6131202008471686
17,0.005,9999999999,0.030625,-0.37615714285714275,-4.809600000480959e-11,0.021533203125,-0.3046239397802388,2.304623939780239,1.6953760602197612
