step,K,T_I,T_D,P,I,D,ds,left speed,right speed
0,0.005,9999999999,0.125,-0.4016714285714285,-2.5706971431142125e-12,-0.7845145089285712,-1.1361859375025705,3.1361859375025705,0.8638140624974295
1,0.005,9999999999,0.125,-0.41881428571428564,-5.251108571953681e-12,-0.03348214285714288,-0.40229642857667963,2.4022964285766797,1.5977035714233203
2,0.005,9999999999,0.125,-0.41952857142857136,-7.936091429365036e-12,-0.001395089285714246,-0.3709236607222217,2.3709236607222217,1.6290763392777783
3,0.005,9999999999,0.125,-0.4159571428571428,-1.0598217143916961e-11,0.006975446428571369,-0.3589816964391697,2.35898169643917,1.6410183035608303
4,0.005,9999999999,0.125,-0.40881428571428563,-1.3214628572750033e-11,0.013950892857142879,-0.3448633928703574,2.3448633928703573,1.6551366071296427
5,0.005,9999999999,0.125,-0.41809999999999997,-1.5890468573017616e-11,-0.018136160714285754,-0.3862361607301762,2.386236160730176,1.613763839269824
6,0.005,9999999999,0.125,-0.4231,-1.85983085732884e-11,-0.009765625,-0.3828656250185983,2.3828656250185984,1.6171343749814018
7,0.005,9999999999,0.125,-0.41524285714285714,-2.1255862859268437e-11,0.015345982142857123,-0.34989687502125594,2.349896875021256,1.6501031249787441
8,0.005,9999999999,0.125,-0.4216714285714285,-2.3954560002395448e-11,-0.012555803571428492,-0.38422723216681154,2.3842272321668116,1.6157727678331884
9,0.005,9999999999,0.125,-0.40452857142857135,-2.6543542859797206e-11,0.03348214285714288,-0.321046428597972,2.321046428597972,1.678953571402028
10,0.005,9999999999,0.125,-0.40452857142857135,-2.913252571719896e-11,0.0,-0.3545285714577039,2.354528571457704,1.645471428542296
11,0.005,9999999999,0.125,-0.3873857142857143,-3.1611794288875455e-11,0.03348214285714274,-0.3039035714601833,2.303903571460183,1.6960964285398168
12,0.005,9999999999,0.125,-0.3923857142857143,-3.412306286055516e-11,-0.009765625,-0.35215133931983733,2.352151339319837,1.6478486606801628
13,0.005,9999999999,0.125,-0.3873857142857143,-3.660233143223165e-11,0.009765625,-0.3276200893223166,2.3276200893223167,1.6723799106776833
14,0.005,9999999999,0.125,-0.37738571428571427,-3.901760000390175e-11,0.01953125,-0.3078544643247319,2.307854464324732,1.6921455356752682
15,0.005,9999999999,0.125,-0.3716714285714285,-4.1396297146996756e-11,0.011160714285714387,-0.31051071432711036,2.31051071432711,1.6894892856728896
16,0.005,9999999999,0.125,-0.3530999999999999,-4.3656137147222743e-11,0.03627232142857151,-0.26682767861508455,2.2668276786150847,1.7331723213849155
17,0.005,9999999999,0.125,-0.3416714285714285,-4.584283429029855e-11,0.022321428571428492,-0.26935000004584286,2.2693500000458426,1.7306499999541571
18,0.005,9999999999,0.125,-0.3466714285714285,-4.806153143337757e-11,-0.009765625,-0.3064370536194901,2.30643705361949,1.69356294638051
19,0.005,9999999999,0.125,-0.3188142857142857,-5.0101942862153037e-11,0.054408482142856984,-0.21440580362153067,2.214405803621531,1.7855941963784694
20,0.005,9999999999,0.125,-0.3166714285714285,-5.2128640005212855e-11,0.004185267857143016,-0.2624861607664141,2.262486160766414,1.7375138392335858
21,0.005,9999999999,0.125,-0.3223857142857142,-5.419190857684775e-11,-0.011160714285714246,-0.2835464286256204,2.2835464286256206,1.7164535713743796
