step,K,T_I,T_D,P,I,D,ds,left speed,right speed
0,0.005,9999999999,0.5,-1.0,-6.4000000006400005e-12,-7.8125,-8.7625000000064,8.7625000000064,-8.7625000000064
1,0.005,9999999999,0.5,-1.0,-1.2800000001280001e-11,0.0,-0.9500000000127999,2.9500000000127997,1.0499999999872
2,0.005,9999999999,0.5,-1.0,-1.920000000192e-11,0.0,-0.9500000000191999,2.9500000000192,1.0499999999808
3,0.005,9999999999,0.5,-1.0,-2.5600000002560002e-11,0.0,-0.9500000000255999,2.9500000000256,1.0499999999744
4,0.005,9999999999,0.5,-1.0,-3.20000000032e-11,0.0,-0.9500000000319999,2.950000000032,1.049999999968
5,0.005,9999999999,0.5,-1.0,-3.8400000003839997e-11,0.0,-0.9500000000383999,2.9500000000383997,1.0499999999616
6,0.005,9999999999,0.5,-1.0,-4.480000000448e-11,0.0,-0.9500000000447999,2.9500000000448,1.0499999999552
7,0.005,9999999999,0.5,-0.9905714285714287,-5.113965714797111e-11,0.07366071428571375,-0.8669107143368545,2.8669107143368544,1.1330892856631456
8,0.005,9999999999,0.5,-0.9962857142857143,-5.7515885720037305e-11,-0.044642857142856984,-0.9909285714860872,2.990928571486087,1.0090714285139128
9,0.005,9999999999,0.5,-0.9791428571428571,-6.378240000637824e-11,0.13392857142857206,-0.7952142857780674,2.7952142857780675,1.2047857142219325
10,0.005,9999999999,0.5,-0.9592,-6.992128000699212e-11,0.15580357142857104,-0.7533964286413503,2.7533964286413504,1.2466035713586496
11,0.005,9999999999,0.5,-0.9577714285714286,-7.605101715046224e-11,0.011160714285713969,-0.8966107143617656,2.8966107143617656,1.1033892856382344
12,0.005,9999999999,0.5,-0.9434857142857144,-8.208932572249465e-11,0.11160714285714303,-0.7818785715106606,2.781878571510661,1.2181214284893394
13,0.005,9999999999,0.5,-0.9106285714285715,-8.79173485802203e-11,0.25669642857142905,-0.6039321429450597,2.6039321429450597,1.3960678570549403
14,0.005,9999999999,0.5,-0.8949142857142858,-9.364480000936448e-11,0.12276785714285698,-0.7221464286650735,2.7221464286650736,1.2778535713349264
15,0.005,9999999999,0.5,-0.8892,-9.933568000993356e-11,0.044642857142856984,-0.7945571429564786,2.794557142956479,1.2054428570435214
16,0.005,9999999999,0.5,-0.8834857142857143,-1.0498998858192757e-10,0.044642857142856984,-0.7888428572478473,2.788842857247847,1.2111571427521528
17,0.005,9999999999,0.5,-0.8563428571428571,-1.1047058286818991e-10,0.21205357142857206,-0.5942892858247556,2.5942892858247557,1.4057107141752443
18,0.005,9999999999,0.5,-0.8549142857142857,-1.159420342973085e-10,0.011160714285713969,-0.7937535715445138,2.7937535715445136,1.2062464284554864
19,0.005,9999999999,0.5,-0.8534857142857143,-1.2140434286928328e-10,0.011160714285713969,-0.7923250001214046,2.7923250001214046,1.2076749998785954
20,0.005,9999999999,0.5,-0.8306285714285714,-1.2672036572695776e-10,0.17857142857142905,-0.6020571429838627,2.602057142983863,1.3979428570161372
21,0.005,9999999999,0.5,-0.782057142857143,-1.3172553144174397e-10,0.3794642857142849,-0.3525928572745836,2.352592857274584,1.6474071427254164
22,0.005,9999999999,0.5,-0.7863428571428571,-1.3675812572796154e-10,-0.033482142857141906,-0.7698250001367571,2.7698250001367573,1.2301749998632427
23,0.005,9999999999,0.5,-0.7763428571428571,-1.4172672001417266e-10,0.078125,-0.6482178572845838,2.6482178572845836,1.3517821427154162
24,0.005,9999999999,0.5,-0.7549142857142858,-1.4655817144322725e-10,0.16741071428571394,-0.53750357157513,2.53750357157513,1.46249642842487
25,0.005,9999999999,0.5,-0.7449142857142858,-1.5132562287227543e-10,0.078125,-0.6167892858656113,2.6167892858656114,1.3832107141343886
26,0.005,9999999999,0.5,-0.732057142857143,-1.5601078858702966e-10,0.10044642857142794,-0.5816107144417257,2.5816107144417257,1.4183892855582743
27,0.005,9999999999,0.5,-0.7120571428571429,-1.605679543017711e-10,0.15625,-0.5058071430177109,2.505807143017711,1.494192856982289
28,0.005,9999999999,0.5,-0.6977714285714285,-1.6503369144507478e-10,0.11160714285714413,-0.536164285879318,2.536164285879318,1.4638357141206821
29,0.005,9999999999,0.5,-0.6834857142857144,-1.6940800001694078e-10,0.1116071428571419,-0.5218785715979805,2.5218785715979806,1.4781214284020194
30,0.005,9999999999,0.5,-0.6377714285714285,-1.734897371602061e-10,0.35714285714285754,-0.2306285716020608,2.2306285716020606,1.7693714283979391
31,0.005,9999999999,0.5,-0.6449142857142858,-1.7761718858919026e-10,-0.055803571428571515,-0.6507178573204744,2.6507178573204744,1.3492821426795256
32,0.005,9999999999,0.5,-0.6277714285714285,-1.816349257324492e-10,0.1339285714285715,-0.44384285732449197,2.443842857324492,1.556157142675508
33,0.005,9999999999,0.5,-0.6063428571428572,-1.8551552001855154e-10,0.16741071428571394,-0.3889321430426587,2.3889321430426587,1.6110678569573413
34,0.005,9999999999,0.5,-0.5749142857142857,-1.891949714474909e-10,0.24553571428571452,-0.2793785716177662,2.2793785716177664,1.7206214283822339
35,0.005,9999999999,0.5,-0.5563428571428571,-1.9275556573356127e-10,0.14508928571428548,-0.36125357162132726,2.361253571621327,1.6387464283786728
36,0.005,9999999999,0.5,-0.5392,-1.9620644573390635e-10,0.1339285714285715,-0.355271428767635,2.355271428767635,1.644728571232365
37,0.005,9999999999,0.5,-0.5149142857142858,-1.9950189716280733e-10,0.18973214285714302,-0.2751821430566446,2.275182143056645,1.7248178569433554
38,0.005,9999999999,0.5,-0.4734857142857143,-2.0253220573453891e-10,0.3236607142857145,-0.09982500020253197,2.099825000202532,1.900174999797468
39,0.005,9999999999,0.5,-0.4549142857142857,-2.054436571634015e-10,0.14508928571428548,-0.2598250002054439,2.259825000205444,1.7401749997945561
40,0.005,9999999999,0.5,-0.4449142857142857,-2.0829110859225768e-10,0.078125,-0.3167892859225768,2.3167892859225767,1.6832107140774233
41,0.005,9999999999,0.5,-0.4020571428571429,-2.108642743068007e-10,0.3348214285714285,-0.017235714496578666,2.0172357144965787,1.9827642855034213
42,0.005,9999999999,0.5,-0.4063428571428572,-2.1346486859277507e-10,-0.033482142857143016,-0.38982500021346506,2.389825000213465,1.6101749997865349
43,0.005,9999999999,0.5,-0.37348571428571425,-2.1585517716444267e-10,0.25669642857142905,-0.06678928593014037,2.0667892859301404,1.9332107140698596
44,0.005,9999999999,0.5,-0.3106285714285714,-2.1784320002178432e-10,0.4910714285714285,0.23044285692501387,1.7695571430749861,2.2304428569250137
45,0.005,9999999999,0.5,-0.2691999999999999,-2.1956608002195661e-10,0.3236607142857151,0.10446071406614911,1.895539285933851,2.1044607140661493
46,0.005,9999999999,0.5,-0.2491999999999999,-2.211609600221161e-10,0.15625,-0.04295000022116084,2.0429500002211607,1.957049999778839
47,0.005,9999999999,0.5,-0.24062857142857141,-2.227009828794129e-10,0.06696428571428492,-0.12366428593698749,2.1236642859369876,1.8763357140630126
48,0.005,9999999999,0.5,-0.2220571428571428,-2.2412214859384076e-10,0.14508928571428603,-0.02696785736697889,2.0269678573669787,1.973032142633021
49,0.005,9999999999,0.5,-0.2306285714285714,-2.255981714511312e-10,-0.06696428571428603,-0.24759285736845565,2.247592857368456,1.7524071426315444
50,0.005,9999999999,0.5,-0.1420571428571428,-2.2650733716550784e-10,0.691964285714286,0.5999071426306359,1.400092857369364,2.599907142630636
51,0.005,9999999999,0.5,-0.11919999999999988,-2.272702171655841e-10,0.17857142857142905,0.10937142834415896,1.890628571655841,2.109371428344159
52,0.005,9999999999,0.5,-0.0963428571428571,-2.2788681145136007e-10,0.17857142857142794,0.13222857120068404,1.867771428799316,2.132228571200684
53,0.005,9999999999,0.5,-0.08062857142857141,-2.284028343085545e-10,0.12276785714285698,0.09213928548588274,1.9078607145141173,2.092139285485883
54,0.005,9999999999,0.5,-0.06348571428571419,-2.2880914288002375e-10,0.13392857142857206,0.12044285691404874,1.8795571430859512,2.1204428569140488
55,0.005,9999999999,0.5,-0.06834285714285698,-2.2924653716578175e-10,-0.03794642857142816,-0.05628928594353168,2.0562892859435316,1.9437107140564682
56,0.005,9999999999,0.5,0.018085714285714403,-2.2913078859434158e-10,0.6752232142857141,0.7433089283422978,1.2566910716577022,2.743308928342298
