step,gs0,gs1,gs2,
353,961,960,960,
354,961,961,961,
355,961,961,961,
356,961,961,961,
357,961,961,961,
358,960,961,959,
359,961,961,961,
360,961,961,961,
361,961,961,961,
362,961,961,961,
363,961,961,960,
364,961,961,960,
365,961,961,961,
366,961,961,961,
367,961,960,961,
368,961,960,961,
369,961,960,959,
370,961,960,959,
371,961,961,960,
372,961,961,960,
373,961,961,961,
374,961,961,961,
375,961,961,960,
376,961,961,960,
377,961,961,960,
378,961,961,960,
379,961,961,960,
380,961,961,960,
381,961,961,961,
382,961,961,961,
383,961,961,960,
384,961,961,960,
385,961,961,960,
386,961,961,960,
387,961,961,961,
388,961,961,961,
389,961,961,960,
390,961,961,960,
391,961,961,961,
392,961,961,961,
393,961,960,961,
394,961,960,961,
395,961,961,960,
396,961,961,960,
397,961,961,961,
398,961,961,961,
399,961,961,960,
400,961,961,961,
401,961,961,961,
402,961,961,961,
403,961,961,961,
404,961,961,961,
405,961,961,961,
406,961,961,961,
407,961,961,961,
408,961,961,961,
409,961,961,961,
410,960,961,961,
411,960,961,961,
412,961,961,961,
413,961,961,961,
414,961,961,960,
415,961,961,960,
416,961,960,960,
417,961,960,960,
418,960,960,959,
419,960,960,959,
420,961,960,959,
421,961,960,959,
422,961,960,792,
423,961,960,792,
424,960,960,318,
425,960,960,318,
426,960,960,306,
427,960,960,306,
428,961,960,302,
429,961,960,302,
430,961,957,303,
431,961,957,303,
432,960,792,303,
433,960,792,303,
434,961,284,299,
435,961,284,299,
436,960,275,307,
437,960,275,307,
438,961,277,300,
439,961,277,300,
440,961,277,302,
441,961,277,302,
442,481,276,300,
443,256,275,418,
444,256,275,418,
445,259,276,945,
446,259,276,945,
447,250,274,957,
448,250,274,957,
449,256,280,960,
450,256,280,960,
451,247,276,959,
452,247,276,959,
453,253,408,958,
454,253,408,958,
455,260,941,960,
456,260,941,960,
457,256,959,960,
458,256,959,960,
459,256,960,960,
460,256,960,960,
461,261,960,960,
462,261,960,960,
463,284,960,960,
464,284,960,960,
465,957,960,960,
466,957,960,960,
467,961,960,959,
468,961,960,959,
469,960,960,959,
470,960,960,959,
471,960,960,960,
472,960,960,960,
473,961,960,960,
474,961,960,960,
475,961,960,959,
476,961,960,959,
477,961,960,959,
478,961,961,959,
479,961,961,959,
480,960,961,960,
481,960,961,960,
482,960,960,959,
483,960,960,959,
484,961,960,959,
485,961,960,959,
486,961,961,960,
487,961,961,960,
488,960,961,959,
489,960,961,959,
490,961,961,960,
491,961,961,960,
492,961,961,959,
493,961,961,959,
494,961,961,961,
495,961,961,961,
496,961,961,960,
497,961,961,960,
498,961,961,959,
499,961,961,959,
500,960,961,960,
501,960,961,960,
502,961,961,960,
503,961,961,960,
504,961,961,960,
505,961,961,960,
506,961,961,960,
507,961,961,960,
508,961,960,960,
509,961,960,960,
510,960,960,959,
511,960,960,959,
512,961,961,960,
513,961,961,960,
514,961,961,960,
515,961,961,960,
516,960,961,960,
517,960,961,960,
518,961,961,959,
519,960,961,960,
520,960,961,960,
521,961,961,961,
522,961,961,961,
523,960,960,959,
524,960,960,959,
525,960,960,959,
526,960,960,959,
527,960,960,959,
528,960,960,959,
529,960,960,959,
530,960,960,959,
531,961,960,959,
532,961,960,959,
533,960,960,960,
534,960,960,960,
535,961,960,960,
536,961,960,960,
537,960,960,959,
538,960,960,959,
539,961,960,959,
540,961,960,959,
541,960,959,959,
542,960,959,959,
543,960,960,959,
544,960,960,959,
545,960,960,959,
546,960,960,959,
547,960,960,960,
548,960,960,960,
549,960,960,959,
550,960,960,959,
551,959,960,959,
552,959,960,959,
553,961,959,959,
554,961,959,959,
555,960,960,959,
556,960,960,959,
557,960,960,959,
558,960,960,959,
559,960,960,960,
560,960,960,960,
561,960,960,960,
562,960,960,959,
563,960,960,959,
564,961,960,958,
565,961,960,958,
566,960,960,959,
567,960,960,959,
568,961,960,958,
569,961,960,958,
570,961,960,959,
571,961,960,959,
572,960,959,959,
573,960,959,959,
574,960,959,958,
575,960,959,958,
576,961,960,959,
577,961,960,959,
578,960,960,959,
579,960,960,959,
580,960,959,959,
581,960,959,959,
582,960,960,959,
583,960,960,959,
584,960,959,960,
585,960,959,960,
586,960,960,959,
587,960,960,959,
588,960,961,959,
589,960,961,959,
590,960,961,960,
591,960,961,960,
592,960,960,959,
593,960,960,959,
594,962,961,960,
595,962,961,960,
596,960,961,960,
597,960,961,960,
598,960,961,960,
599,961,961,960,
600,961,961,960,
601,960,960,960,
