step,x_center,y_center,width,height,conf,label
0,41.76417541503906,40.253684997558594,16.799880981445312,30.777420043945312,0.8761875033378601,Black Block
1,41.799888610839844,40.25912094116211,16.63580322265625,30.650840759277344,0.8837697505950928,Black Block
2,41.799888610839844,40.25912094116211,16.63580322265625,30.650840759277344,0.8837697505950928,Black Block
3,41.7935905456543,40.267730712890625,16.350364685058594,30.594026565551758,0.8429107069969177,Black Block
4,41.7935905456543,40.267730712890625,16.350364685058594,30.594026565551758,0.8429107069969177,Black Block
7,96.14612579345703,40.39469909667969,14.5086669921875,30.841705322265625,0.8247586488723755,Black Block
7,73.11911010742188,40.986297607421875,19.501522064208984,33.70054626464844,0.8208990693092346,Black Block
7,6.68220329284668,72.06138610839844,13.252227783203125,76.3553466796875,0.7734113931655884,Epuck
8,96.14612579345703,40.39469909667969,14.5086669921875,30.841705322265625,0.8247586488723755,Black Block
8,73.11911010742188,40.986297607421875,19.501522064208984,33.70054626464844,0.8208990693092346,Black Block
8,6.68220329284668,72.06138610839844,13.252227783203125,76.3553466796875,0.7734113931655884,Epuck
9,20.10805320739746,74.79925537109375,40.15549850463867,76.03640747070312,0.9520217776298523,Epuck
9,94.57440185546875,40.89554977416992,19.76141357421875,34.76129150390625,0.8913208246231079,Black Block
9,119.18724060058594,39.415313720703125,16.030288696289062,29.13439178466797,0.39990928769111633,Black Block
10,20.10805320739746,74.79925537109375,40.15549850463867,76.03640747070312,0.9520217776298523,Epuck
10,94.57440185546875,40.89554977416992,19.76141357421875,34.76129150390625,0.8913208246231079,Black Block
10,119.18724060058594,39.415313720703125,16.030288696289062,29.13439178466797,0.39990928769111633,Black Block
11,49.299583435058594,74.95640563964844,96.17161560058594,75.85308837890625,0.8890876770019531,Epuck
12,49.299583435058594,74.95640563964844,96.17161560058594,75.85308837890625,0.8890876770019531,Epuck
13,72.52982330322266,76.37374877929688,84.79045104980469,70.1318359375,0.9307675957679749,Epuck
14,72.52982330322266,76.37374877929688,84.79045104980469,70.1318359375,0.9307675957679749,Epuck
15,125.83263397216797,73.03303527832031,68.52598571777344,76.10855102539062,0.9569962024688721,Epuck
16,125.83263397216797,73.03303527832031,68.52598571777344,76.10855102539062,0.9569962024688721,Epuck
17,146.741455078125,73.65157318115234,26.53607177734375,76.18954467773438,0.9279358983039856,Epuck
18,146.741455078125,73.65157318115234,26.53607177734375,76.18954467773438,0.9279358983039856,Epuck
19,154.1277313232422,80.17269134521484,11.789794921875,55.207244873046875,0.38138577342033386,Epuck
20,154.1277313232422,80.17269134521484,11.789794921875,55.207244873046875,0.38138577342033386,Epuck
23,26.423416137695312,75.23355865478516,52.63653564453125,61.53465270996094,0.956518828868866,Black Ball
24,26.423416137695312,75.23355865478516,52.63653564453125,61.53465270996094,0.956518828868866,Black Ball
25,51.728248596191406,74.80219268798828,56.694366455078125,59.375701904296875,0.9674286842346191,Black Ball
26,51.728248596191406,74.80219268798828,56.694366455078125,59.375701904296875,0.9674286842346191,Black Ball
27,64.77230834960938,74.83696746826172,57.20566177368164,59.44370651245117,0.9662835001945496,Black Ball
28,64.77230834960938,74.83696746826172,57.20566177368164,59.44370651245117,0.9662835001945496,Black Ball
29,99.98884582519531,74.93812561035156,55.921661376953125,58.54527282714844,0.967681884765625,Black Ball
30,99.98884582519531,74.93812561035156,55.921661376953125,58.54527282714844,0.967681884765625,Black Ball
31,135.9191436767578,75.50044250488281,47.795379638671875,60.25437927246094,0.9617694616317749,Black Ball
32,135.9191436767578,75.50044250488281,47.795379638671875,60.25437927246094,0.9617694616317749,Black Ball
33,21.242164611816406,21.554349899291992,42.78395080566406,42.8154411315918,0.9384467005729675,Green Block
33,153.93838500976562,74.41960906982422,12.008819580078125,62.62684631347656,0.8703211545944214,Black Ball
34,21.242164611816406,21.554349899291992,42.78395080566406,42.8154411315918,0.9384467005729675,Green Block
34,153.93838500976562,74.41960906982422,12.008819580078125,62.62684631347656,0.8703211545944214,Black Ball
35,38.98755645751953,19.688594818115234,76.32707214355469,39.417442321777344,0.353435754776001,Green Block
36,38.98755645751953,19.688594818115234,76.32707214355469,39.417442321777344,0.353435754776001,Green Block
37,137.34266662597656,20.904705047607422,45.283973693847656,41.785789489746094,0.8751955628395081,Green Block
38,137.34266662597656,20.904705047607422,45.283973693847656,41.785789489746094,0.8751955628395081,Green Block
39,23.736404418945312,76.70903015136719,47.31407165527344,57.971435546875,0.9635237455368042,Red Block
39,17.17733383178711,24.070417404174805,34.68407440185547,48.013980865478516,0.7812185883522034,Green Block
40,23.736404418945312,76.70903015136719,47.31407165527344,57.971435546875,0.9635237455368042,Red Block
40,17.17733383178711,24.070417404174805,34.68407440185547,48.013980865478516,0.7812185883522034,Green Block
41,69.46696472167969,75.76508331298828,77.05877685546875,53.46952819824219,0.9720744490623474,Red Block
42,69.46696472167969,75.76508331298828,77.05877685546875,53.46952819824219,0.9720744490623474,Red Block
43,123.49075317382812,24.65028190612793,49.14344024658203,49.46967697143555,0.9605435132980347,Green Block
43,25.998294830322266,20.80826187133789,51.908363342285156,41.45258331298828,0.9112473130226135,Black Block
43,111.38436889648438,75.8060302734375,49.57671356201172,51.40653991699219,0.8744418621063232,Red Block
43,75.93456268310547,88.425048828125,32.38471603393555,25.5557861328125,0.8695567846298218,Red Block
43,153.18072509765625,19.15347671508789,13.713409423828125,38.54051971435547,0.796187698841095,Green Block
43,145.3811492919922,63.3685302734375,28.72772216796875,27.155521392822266,0.7326356768608093,Red Block
43,132.5390167236328,66.77501678466797,47.36175537109375,33.09675216674805,0.2793922424316406,Red Block
44,123.49075317382812,24.65028190612793,49.14344024658203,49.46967697143555,0.9605435132980347,Green Block
44,25.998294830322266,20.80826187133789,51.908363342285156,41.45258331298828,0.9112473130226135,Black Block
44,111.38436889648438,75.8060302734375,49.57671356201172,51.40653991699219,0.8744418621063232,Red Block
44,75.93456268310547,88.425048828125,32.38471603393555,25.5557861328125,0.8695567846298218,Red Block
44,153.18072509765625,19.15347671508789,13.713409423828125,38.54051971435547,0.796187698841095,Green Block
44,145.3811492919922,63.3685302734375,28.72772216796875,27.155521392822266,0.7326356768608093,Red Block
44,132.5390167236328,66.77501678466797,47.36175537109375,33.09675216674805,0.2793922424316406,Red Block
45,128.94564819335938,76.22837829589844,62.1468505859375,54.70606994628906,0.9662304520606995,Red Block
46,128.94564819335938,76.22837829589844,62.1468505859375,54.70606994628906,0.9662304520606995,Red Block
47,153.2045440673828,76.09571838378906,13.45233154296875,57.540042877197266,0.85663241147995,Red Block
47,123.48988342285156,20.054180145263672,61.432342529296875,40.468177795410156,0.7595487236976624,Green Block
47,53.48545455932617,23.388818740844727,84.8625717163086,43.516109466552734,0.25518307089805603,Black Block
48,153.2045440673828,76.09571838378906,13.45233154296875,57.540042877197266,0.85663241147995,Red Block
48,123.48988342285156,20.054180145263672,61.432342529296875,40.468177795410156,0.7595487236976624,Green Block
48,53.48545455932617,23.388818740844727,84.8625717163086,43.516109466552734,0.25518307089805603,Black Block
49,63.45301055908203,25.752368927001953,120.76298522949219,44.918121337890625,0.7042859792709351,Black Block
49,61.88533020019531,24.926462173461914,123.96174621582031,49.289424896240234,0.6812043190002441,Epuck
